tanggal,waktu,username,full_text,sentimen,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,steming_data
Thu Oct 30,22:24:06,ghifarisyukurr,@pendakilawas Dan PPN naik 12% di 2025 wkwk,Negatif,Dan PPN naik  di  wkwk,dan ppn naik  di  wkwk,dan ppn naik di wkwk,"['dan', 'ppn', 'naik', 'di', 'wkwk']","['ppn', 'wkwk']",ppn wkwk
Thu Oct 30,17:03:09,dani_dosed,@inez09082000 Halah taik.. selama bbm harga ga turun ppn rncn naik 12% potongan tapera klaim2an itu cuma omong kosong aja,Negatif,Halah taik selama bbm harga ga turun ppn rncn naik  potongan tapera klaiman itu cuma omong kosong aja,halah taik selama bbm harga ga turun ppn rncn naik  potongan tapera klaiman itu cuma omong kosong aja,halah tahi selama bbm harga tidak turun ppn rncn naik potongan tapera klaiman itu cuma omong kosong saja,"['halah', 'tahi', 'selama', 'bbm', 'harga', 'tidak', 'turun', 'ppn', 'rncn', 'naik', 'potongan', 'tapera', 'klaiman', 'itu', 'cuma', 'omong', 'kosong', 'saja']","['halah', 'tahi', 'bbm', 'harga', 'turun', 'ppn', 'rncn', 'potongan', 'tapera', 'klaiman', 'omong', 'kosong']",halah tahi bbm harga turun ppn rncn potong tapera klaim omong kosong
Thu Oct 30,13:51:43,madrid_jkt58,@awemany Kalau kasus BBM gimana om?! Beli pertamax rp.12 500 negara rugi 4.800 perak beli shell/BP harga 13-14 ribuan negara untung dari PPN PPh dan g perlu subsidi. Negara rugi ratusan trilyun subsidi. Apa menteri ESDM dan direksi Pertamina ditangkap ata,Negatif,Kalau kasus BBM gimana om Beli pertamax rp  negara rugi  perak beli shellBP harga  ribuan negara untung dari PPN PPh dan g perlu subsidi Negara rugi ratusan trilyun subsidi Apa menteri ESDM dan direksi Pertamina ditangkap ata,kalau kasus bbm gimana om beli pertamax rp  negara rugi  perak beli shellbp harga  ribuan negara untung dari ppn pph dan g perlu subsidi negara rugi ratusan trilyun subsidi apa menteri esdm dan direksi pertamina ditangkap ata,kalau kasus bbm bagaimana om beli pertamax rp negara rugi perak beli shellbp harga ribuan negara untung dari ppn pph dan tidak perlu subsidi negara rugi ratusan trilyun subsidi apa-apa menteri esdm dan direksi pertamina ditangkap ata,"['kalau', 'kasus', 'bbm', 'bagaimana', 'om', 'beli', 'pertamax', 'rp', 'negara', 'rugi', 'perak', 'beli', 'shellbp', 'harga', 'ribuan', 'negara', 'untung', 'dari', 'ppn', 'pph', 'dan', 'tidak', 'perlu', 'subsidi', 'negara', 'rugi', 'ratusan', 'trilyun', 'subsidi', 'apa-apa', 'menteri', 'esdm', 'dan', 'direksi', 'pertamina', 'ditangkap', 'ata']","['bbm', 'om', 'beli', 'pertamax', 'rp', 'negara', 'rugi', 'perak', 'beli', 'shellbp', 'harga', 'ribuan', 'negara', 'untung', 'ppn', 'pph', 'subsidi', 'negara', 'rugi', 'ratusan', 'trilyun', 'subsidi', 'apa-apa', 'menteri', 'esdm', 'direksi', 'pertamina', 'ditangkap', 'ata']",bbm om beli pertamax rp negara rugi perak beli shellbp harga ribu negara untung ppn pph subsidi negara rugi ratus trilyun subsidi apa menteri esdm direksi pertamina tangkap ata
Thu Oct 30,10:48:49,aniek_rizka,@toramhanie Ya ampun! Di korea cuma 200k? Dihhmengiriiii. Ini belum yg PPN naik 12% lho. Gak kebayang tahun depan.Mulyono pembawa petaka!,Negatif,Ya ampun Di korea cuma k Dihhmengiriiii Ini belum yg PPN naik  lho Gak kebayang tahun depanMulyono pembawa petaka,ya ampun di korea cuma k dihhmengiriiii ini belum yg ppn naik  lho gak kebayang tahun depanmulyono pembawa petaka,ya ampun di korea cuma kak dihhmengiriiii ini belum yang ppn naik lho tidak terbayang tahun-tahun depanmulyono pembawa petaka,"['ya', 'ampun', 'di', 'korea', 'cuma', 'kak', 'dihhmengiriiii', 'ini', 'belum', 'yang', 'ppn', 'naik', 'lho', 'tidak', 'terbayang', 'tahun-tahun', 'depanmulyono', 'pembawa', 'petaka']","['ya', 'ampun', 'korea', 'kak', 'dihhmengiriiii', 'ppn', 'lho', 'terbayang', 'tahun-tahun', 'depanmulyono', 'pembawa', 'petaka']",ya ampun korea kak dihhmengiriiii ppn lho bayang tahun depanmulyono bawa petaka
Thu Oct 30,10:46:05,ekprstyo,@innovacommunity Taun depan ppn juga udah bukan 11% lagi tapi 12%,Negatif,Taun depan ppn juga udah bukan  lagi tapi,taun depan ppn juga udah bukan  lagi tapi,tahun depan ppn juga sudah bukan lagi tapi,"['tahun', 'depan', 'ppn', 'juga', 'sudah', 'bukan', 'lagi', 'tapi']",['ppn'],ppn
Thu Oct 30,9:54:02,Trafalg93444780,@hnirankara Kopi sachet dari 12k/ renceng sekarang 17-18k belum tahun depan ppn naik 12% makin ambyar pak tito,Negatif,Kopi sachet dari k renceng sekarang k belum tahun depan ppn naik  makin ambyar pak tito,kopi sachet dari k renceng sekarang k belum tahun depan ppn naik  makin ambyar pak tito,kopi sachet dari kak renceng sekarang kak belum tahun-tahun depan ppn naik makin ambyar pak tito,"['kopi', 'sachet', 'dari', 'kak', 'renceng', 'sekarang', 'kak', 'belum', 'tahun-tahun', 'depan', 'ppn', 'naik', 'makin', 'ambyar', 'pak', 'tito']","['kopi', 'sachet', 'kak', 'renceng', 'kak', 'tahun-tahun', 'ppn', 'ambyar', 'tito']",kopi sachet kak renceng kak tahun ppn ambyar tito
Thu Oct 30,9:43:42,Tutur2045861,@RagilSemar Sekalian bandarnya kenain PPN 12 % atau dirubah PPN Khusus Judi online 25 %. PPH bagi yang menang dan PPH untuk pemilik aplikasi.,Negatif,Sekalian bandarnya kenain PPN   atau dirubah PPN Khusus Judi online   PPH bagi yang menang dan PPH untuk pemilik aplikasi,sekalian bandarnya kenain ppn   atau dirubah ppn khusus judi online   pph bagi yang menang dan pph untuk pemilik aplikasi,sekalian bandarnya kenain ppn atau dirubah ppn khusus judi online pph bagi yang menang dan pph untuk pemilik aplikasi,"['sekalian', 'bandarnya', 'kenain', 'ppn', 'atau', 'dirubah', 'ppn', 'khusus', 'judi', 'online', 'pph', 'bagi', 'yang', 'menang', 'dan', 'pph', 'untuk', 'pemilik', 'aplikasi']","['bandarnya', 'kenain', 'ppn', 'dirubah', 'ppn', 'khusus', 'judi', 'online', 'pph', 'menang', 'pph', 'pemilik', 'aplikasi']",bandar kenain ppn rubah ppn khusus judi online pph menang pph milik aplikasi
Thu Oct 30,5:17:41,undrcvr_agent__,Bursa efek itu sekarang notaben di topang sama kelas menengah soalnya kelas atas udh banyak yang cash out karena asing pada cabut. Tapi tai-nya sekarang kebijakan malah ngehantam kelas menengah terus di tambah tahun depan ppn 12%,Negatif,Bursa efek itu sekarang notaben di topang sama kelas menengah soalnya kelas atas udh banyak yang cash out karena asing pada cabut Tapi tainya sekarang kebijakan malah ngehantam kelas menengah terus di tambah tahun depan ppn,bursa efek itu sekarang notaben di topang sama kelas menengah soalnya kelas atas udh banyak yang cash out karena asing pada cabut tapi tainya sekarang kebijakan malah ngehantam kelas menengah terus di tambah tahun depan ppn,bursa efek itu sekarang notaben di topang sama-sama kelas menengah soalnya kelas atas sudah banyak yang cash out karena asing pada cabut tapi tainya sekarang kebijakan malah ngehantam kelas menengah terus di tambah tahun-tahun depan ppn,"['bursa', 'efek', 'itu', 'sekarang', 'notaben', 'di', 'topang', 'sama-sama', 'kelas', 'menengah', 'soalnya', 'kelas', 'atas', 'sudah', 'banyak', 'yang', 'cash', 'out', 'karena', 'asing', 'pada', 'cabut', 'tapi', 'tainya', 'sekarang', 'kebijakan', 'malah', 'ngehantam', 'kelas', 'menengah', 'terus', 'di', 'tambah', 'tahun-tahun', 'depan', 'ppn']","['bursa', 'efek', 'notaben', 'topang', 'kelas', 'menengah', 'kelas', 'cash', 'out', 'asing', 'cabut', 'tainya', 'kebijakan', 'ngehantam', 'kelas', 'menengah', 'tahun-tahun', 'ppn']",bursa efek notaben topang kelas tengah kelas cash out asing cabut tainya bijak ngehantam kelas tengah tahun ppn
Thu Oct 30,0:43:14,richsunnyaurora,tahun 2025 nanti PPN kita naik 12% bjir,Negatif,tahun  nanti PPN kita naik  bjir,tahun  nanti ppn kita naik  bjir,tahun-tahun nanti ppn kita naik bjir,"['tahun-tahun', 'nanti', 'ppn', 'kita', 'naik', 'bjir']","['tahun-tahun', 'ppn', 'bjir']",tahun ppn bjir
Thu Oct 30,0:05:10,tempodotco,Kabinet Prabowo Tak Bahas Kenaikan PPN 12 Persen di Retret Akmil Magelang https://t.co/nY1dkIt3sj #TempoBisnis,Negatif,Kabinet Prabowo Tak Bahas Kenaikan PPN  Persen di Retret Akmil Magelang  TempoBisnis,kabinet prabowo tak bahas kenaikan ppn  persen di retret akmil magelang  tempobisnis,kabinet prabowo tak bahas kenaikan ppn persen di retret akmil magelang tempobisnis,"['kabinet', 'prabowo', 'tak', 'bahas', 'kenaikan', 'ppn', 'persen', 'di', 'retret', 'akmil', 'magelang', 'tempobisnis']","['kabinet', 'prabowo', 'bahas', 'kenaikan', 'ppn', 'persen', 'retret', 'akmil', 'magelang', 'tempobisnis']",kabinet prabowo bahas naik ppn persen retret akmil magelang tempobisnis
Wed Oct 29,12:39:52,barequeenx,Duh tahun depan ppn naik 12% semoga harga kos ga naik plss,Negatif,Duh tahun depan ppn naik  semoga harga kos ga naik plss,duh tahun depan ppn naik  semoga harga kos ga naik plss,duh tahun-tahun depan ppn naik semoga harga kos tidak naik plss,"['duh', 'tahun-tahun', 'depan', 'ppn', 'naik', 'semoga', 'harga', 'kos', 'tidak', 'naik', 'plss']","['duh', 'tahun-tahun', 'ppn', 'semoga', 'harga', 'kos', 'plss']",duh tahun ppn moga harga kos plss
